date,gdp,jgdp,djgdp,oil,joil,djoil,cdop,maxp,jpmax
1965Q2,4116.267,832.2701963654715,1.2553852100527365,13.4,259.5254706956866,0.0,51.581316527702995,52.32481437645481,0.0
1965Q3,4207.782,834.4690946991914,2.1988983337198533,13.4,259.5254706956866,0.0,51.581316527702995,52.32481437645481,0.0
1965Q4,4304.731,836.7469929427534,2.277898243562049,13.4,259.5254706956866,0.0,51.581316527702995,52.32481437645481,0.0
1966Q1,4409.518,839.1520665415379,2.4050735987844973,13.4,259.5254706956866,0.0,51.581316527702995,52.32481437645481,0.0
1966Q2,4424.581,839.4930863693181,0.341019827780201,13.5,260.2689685444384,0.7434978487518151,52.32481437645481,52.32481437645481,0.0
1966Q3,4462.053,840.3364253003512,0.8433389310330313,13.5,260.2689685444384,0.0,52.32481437645481,52.32481437645481,0.0
1966Q4,4498.66,841.1534853636027,0.8170600632515743,13.6,261.00697927420066,0.7380107297622658,53.062825106217076,53.062825106217076,0.7380107297622658
1967Q1,4538.498,842.0351399292354,0.8816545656326298,13.6,261.00697927420066,0.0,53.062825106217076,53.062825106217076,0.0
1967Q2,4541.28,842.0964189624243,0.06127903318895278,13.6,261.00697927420066,0.0,53.062825106217076,53.062825106217076,0.0
1967Q3,4584.246,843.0380921876131,0.9416732251887652,13.7,261.7395832834079,0.7326040092072503,53.79542911542433,53.79542911542433,0.7326040092072503
1967Q4,4618.812,843.7892808151748,0.7511886275617599,13.7,261.7395832834079,0.0,53.79542911542433,53.79542911542433,0.0
1968Q1,4713.013,845.8082685247955,2.01898770962066,13.7,261.7395832834079,0.0,53.79542911542433,53.79542911542433,0.0
1968Q2,4791.758,847.465263768535,1.656995243739516,13.7,261.7395832834079,0.0,53.79542911542433,53.79542911542433,0.0
1968Q3,4828.892,848.2372320744588,0.7719683059237923,13.8,262.4668592163159,0.7272759329080145,54.52270504833234,54.52270504833234,0.7272759329080145
1968Q4,4847.885,848.6297806345688,0.3925485601099581,13.8,262.4668592163159,0.0,54.52270504833234,54.52270504833234,0.0
1969Q1,4923.76,850.1827745255381,1.5529938909693328,14.3,266.0259537265861,3.5590945102701994,58.08179955860254,58.08179955860254,3.5590945102701994
1969Q2,4938.728,850.4863087147216,0.30353418918355146,14.5,267.41486494265286,1.388911216066731,59.47071077466927,59.47071077466927,1.388911216066731
1969Q3,4971.349,851.1446510832033,0.6583423684816125,14.5,267.41486494265286,0.0,59.47071077466927,59.47071077466927,0.0
1969Q4,4947.104,850.6557633848859,-0.48888769831739864,14.5,267.41486494265286,0.0,59.47071077466927,59.47071077466927,0.0
1970Q1,4939.759,850.5071823566819,-0.14858102820392105,14.5,267.41486494265286,0.0,59.47071077466927,59.47071077466927,0.0
1970Q2,4946.77,850.6490117322951,0.14182937561315612,14.5,267.41486494265286,0.0,59.47071077466927,59.47071077466927,0.0
1970Q3,4992.357,851.5663421915306,0.9173304592354725,14.3,266.0259537265861,-1.388911216066731,58.08179955860254,59.47071077466927,0.0
